iters pop mut scross cross algo min_time max_time avg_time min_res max_res avg_res
10 50 0.05 0.1 0.1 1 0.0094973 0.0125049 0.009813618 450 1550 907
10 50 0.1 0.1 0.001 0 0.0096559 0.0104129 0.009866831 300 1850 684.5
10 50 0.1 0.1 0.001 1 0.0095251 0.0104 0.009722849 500 1450 898
10 50 0.1 0.1 0.005 0 0.0096572 0.010557 0.00985601 100 1000 650
10 50 0.1 0.1 0.005 1 0.0095353 0.0103851 0.009738962 350 1500 899.5
10 50 0.1 0.1 0.01 0 0.00967 0.0121547 0.010244993 200 2450 738
10 50 0.1 0.1 0.01 1 0.0095152 0.0108781 0.00991277 450 1400 926.5
10 50 0.1 0.1 0.05 0 0.0098052 0.0110496 0.010320927 300 1650 670
10 50 0.1 0.1 0.05 1 0.009534 0.0110218 0.009881342 250 1450 896
10 50 0.1 0.1 0.1 0 0.0097008 0.0160472 0.011503169 300 2350 703
10 50 0.1 0.1 0.1 1 0.012744 0.0201779 0.013386641 350 1550 909
10 100 0.001 0.1 0.001 0 0.0106156 0.0160947 0.012620859 250 900 574
10 100 0.001 0.1 0.001 1 0.0107627 0.0116261 0.011007151 500 1500 889
10 100 0.001 0.1 0.005 0 0.0105933 0.0112998 0.010837855 300 850 589
10 100 0.001 0.1 0.005 1 0.0107507 0.0149101 0.011098335 450 1300 910.5
10 100 0.001 0.1 0.01 0 0.0143233 0.0151906 0.014614857 200 900 555.5
10 100 0.001 0.1 0.01 1 0.0145487 0.0160326 0.014831852 250 1450 877
10 100 0.001 0.1 0.05 0 0.0105972 0.0153339 0.011472672 300 1000 568.5
10 100 0.001 0.1 0.05 1 0.0107952 0.0127158 0.011036704 250 1450 880
10 100 0.001 0.1 0.1 0 0.010616 0.012262 0.01101014 200 850 574
10 100 0.001 0.1 0.1 1 0.0107819 0.0119511 0.011315458 400 1250 827
10 100 0.005 0.1 0.001 0 0.0106194 0.0113434 0.010845635 250 1050 596
10 100 0.005 0.1 0.001 1 0.0107759 0.0115538 0.011009976 350 1350 858
10 100 0.005 0.1 0.005 0 0.0106049 0.0113011 0.010843828 300 1000 572
10 100 0.005 0.1 0.005 1 0.0107888 0.012209 0.011111149 500 1400 833.5
10 100 0.005 0.1 0.01 0 0.0108444 0.0120401 0.011379314 300 900 574
